##########  Generation 1  ##########

25)  19.1  |  FGBCHFGFEIEFNGJCLHEEMCLJKJCGCFLHDGJDAJLE
26)  11.5  |  KDAAJGDBEMCALMEAMLOGOANGLKPBPELBPPDIMALF
27)  11.9  |  FGBCHFGFEMCALMECJHEEMCLJKJCGCFLHDGJDAJLE
28)  17.5  |  FGBCHFGFEIEFNGJCLHEEMCLJKJCGCFLHDGJDAJLE
29)  20.6  |  FGBCHFGFEIEFNGJCLHEEMCLJKJCGCFLHDGJDAJLE
30)  21.0  |  FGBCHFGFEIEFNGJCLHEEMCLJKJCGCFLHDGJDAJLE
Generation 9 Average Fitness: 13.486667

##########  Generation 10  ##########

1)  21.9  |  FGBCHFGFEIEFNGJCLHEEMCLJKJCGCFLHDGJDAJLE
2)  13.3  |  FGBCHFGFEIEFNGJPHDEEMCLJKJCGCFLHDGJDAJLE
3)  19.6  |  FGBCHFGFEIEFNGJCLFFCOBKJKJCGCFLHDGJDAJLE
4)  22.1  |  FGBCHFGFEIEFNGJCLFFCOBKJKJCGCFLHDGJDAJLE
5)  22.4  |  FGBCHFGFEIEFNGJCLHEEMCLJKJCGCFLHDGJDAJLE
6)  20.2  |  FGBCHFGFEIEFNGJCLHEEMCLJKJCGCFLHDGJDAJLE
7)  20.4  |  FGBCHFGFEIEFNGJCLHEEIOLFMALNEKGHDGJDAJLE
8)  14.8  |  KDAAJFGMGFEJPGECMKHNFNMIJOBKPELBPPDIMALF
9)  12.8  |  FGBCHFGMGFEJPGHEIFFFEBIPKJCGCFLHDGJDAJLE
10)  18.4  |  FGBCHFGFEIEFNGJCLFFCOBKJKJCGCFLHDGJDAJLE
11)  18.4  |  FGBCHFGFEIEFNGJCLHEEMCLJKJCGCFLHDGJDAJLE
12)  3.9  |  BOONAKELMCOPCAJHICAPBNOPOLJFBCFDPLMHLIDG
